payment_id,customer_id,payment_amount,failure_type,retry_count,successful_payments,failed_payments,customer_age_days,days_since_failure,payment_method,previous_recovery_rate,recovered
pay_00075,cust_1387,5299.63,expired_card,3,17,0,662,0.44,netbanking,1.0,1
pay_00076,cust_1178,498.23,invalid_card,2,0,0,362,4.0,card,0.0,0
pay_00077,cust_1202,714.91,bank_timeout,0,19,6,664,3.45,card,0.76,1
pay_00078,cust_2039,1921.84,insufficient_funds,2,17,2,105,2.26,upi,0.895,1
pay_00079,cust_1416,7831.5,expired_card,3,15,1,272,1.97,card,0.938,0
pay_00080,cust_1471,9844.63,expired_card,0,19,7,882,4.53,card,0.731,0
pay_00081,cust_1173,614.83,authentication_failed,1,20,1,955,3.17,upi,0.952,0
pay_00082,cust_0162,291.68,expired_card,3,5,3,165,3.95,upi,0.625,0
pay_00083,cust_1499,4798.53,expired_card,2,3,7,107,0.79,netbanking,0.3,1
pay_00084,cust_0925,2958.9,insufficient_funds,0,8,8,156,2.33,upi,0.5,1
pay_00085,cust_1074,910.39,invalid_card,2,19,3,693,0.41,card,0.864,1
pay_00086,cust_1902,471.82,expired_card,0,3,3,938,2.73,upi,0.5,0
pay_00087,cust_1592,9620.87,authentication_failed,1,13,1,883,2.5,netbanking,0.929,1
pay_00088,cust_1672,4520.67,bank_timeout,0,11,8,953,4.89,upi,0.579,0
pay_00089,cust_1470,9642.13,insufficient_funds,1,20,0,81,3.96,netbanking,1.0,1
pay_00090,cust_0998,892.7,authentication_failed,1,10,2,837,4.51,card,0.833,1
pay_00091,cust_0012,991.03,insufficient_funds,0,4,0,396,3.97,netbanking,1.0,0
pay_00092,cust_0975,3887.18,authentication_failed,0,15,7,826,1.87,card,0.682,1
pay_00093,cust_2432,2889.89,invalid_card,0,1,7,897,2.07,netbanking,0.125,0
pay_00094,cust_0443,953.94,insufficient_funds,2,19,8,759,1.69,card,0.704,0
pay_00095,cust_2447,358.17,authentication_failed,1,13,7,939,1.22,netbanking,0.65,0
pay_00096,cust_1389,2458.5,expired_card,1,15,1,123,4.18,upi,0.938,1
pay_00097,cust_0382,328.56,authentication_failed,2,3,6,392,4.38,netbanking,0.333,0
pay_00098,cust_1733,2935.83,insufficient_funds,1,4,7,259,4.25,netbanking,0.364,0
pay_00099,cust_1435,7018.13,authentication_failed,0,19,4,59,0.98,netbanking,0.826,1
pay_00100,cust_1266,4002.62,insufficient_funds,0,2,8,250,1.94,card,0.2,1
pay_00101,cust_1859,301.27,insufficient_funds,1,19,0,720,0.5,card,1.0,1
pay_00102,cust_1815,397.58,expired_card,0,9,7,569,3.37,upi,0.562,0
pay_00103,cust_0187,991.24,bank_timeout,2,10,1,37,2.54,upi,0.909,1
pay_00104,cust_1764,2406.64,insufficient_funds,0,13,0,500,4.61,upi,1.0,1
pay_00105,cust_1283,371.73,invalid_card,2,5,7,881,3.48,card,0.417,1
pay_00106,cust_1483,225.44,invalid_card,2,7,5,827,0.92,upi,0.583,0
pay_00107,cust_2091,1387.61,bank_timeout,0,4,4,232,0.95,card,0.5,1
pay_00108,cust_0627,8409.16,invalid_card,3,18,5,914,4.86,netbanking,0.783,0
pay_00109,cust_1295,1883.97,authentication_failed,2,16,1,347,2.36,card,0.941,1
pay_00110,cust_0155,216.07,authentication_failed,3,14,8,840,3.72,netbanking,0.636,0
pay_00111,cust_0169,5250.37,authentication_failed,0,14,1,860,4.51,card,0.933,0
pay_00112,cust_1407,3273.96,invalid_card,1,11,5,969,1.49,netbanking,0.688,1
pay_00113,cust_1675,1104.68,insufficient_funds,0,17,6,320,1.33,upi,0.739,1
pay_00114,cust_2469,2164.9,expired_card,3,4,1,347,2.84,netbanking,0.8,1
pay_00115,cust_1346,442.96,invalid_card,2,0,5,346,0.98,netbanking,0.0,0
pay_00116,cust_0878,882.31,insufficient_funds,0,16,8,885,3.72,upi,0.667,0
pay_00117,cust_2157,3917.21,bank_timeout,1,19,2,768,2.24,card,0.905,1
pay_00118,cust_1683,7273.56,bank_timeout,1,9,7,955,4.19,netbanking,0.562,1
pay_00119,cust_1507,8385.3,authentication_failed,3,5,3,850,3.06,netbanking,0.625,1
pay_00120,cust_1025,214.65,expired_card,1,8,7,957,2.62,card,0.533,0
pay_00121,cust_1792,226.51,invalid_card,3,16,5,271,1.99,card,0.762,0
pay_00122,cust_0335,2860.72,bank_timeout,0,9,7,742,4.17,card,0.562,0
pay_00123,cust_1922,502.62,authentication_failed,3,3,4,273,1.58,netbanking,0.429,0
pay_00124,cust_0196,3439.59,authentication_failed,0,20,8,618,1.29,netbanking,0.714,1
pay_00125,cust_0589,500.78,insufficient_funds,2,2,8,587,2.59,netbanking,0.2,0
pay_00126,cust_2080,1939.8,expired_card,0,11,1,383,1.28,netbanking,0.917,1
pay_00127,cust_0425,1664.7,bank_timeout,3,15,2,860,0.76,netbanking,0.882,0
pay_00128,cust_1875,2581.43,expired_card,3,17,7,289,0.28,netbanking,0.708,1
pay_00129,cust_0783,1095.56,insufficient_funds,3,12,7,946,4.79,upi,0.632,1
pay_00130,cust_1389,1994.55,insufficient_funds,3,2,6,646,4.98,netbanking,0.25,0
pay_00131,cust_0740,1160.06,invalid_card,3,5,7,389,2.29,netbanking,0.417,0
pay_00132,cust_1445,383.46,insufficient_funds,3,11,8,850,3.77,netbanking,0.579,0
pay_00133,cust_0656,484.84,bank_timeout,1,20,5,400,1.98,card,0.8,1
pay_00134,cust_2324,5596.38,insufficient_funds,1,16,5,437,1.64,netbanking,0.762,1
pay_00135,cust_1142,6492.81,authentication_failed,2,8,7,249,4.98,card,0.533,0
pay_00136,cust_1170,407.19,invalid_card,3,2,5,713,1.8,card,0.286,0
pay_00137,cust_0266,644.89,expired_card,1,3,3,841,0.78,netbanking,0.5,0
pay_00138,cust_2024,776.46,authentication_failed,0,9,6,764,3.62,card,0.6,0
pay_00139,cust_2154,2149.23,insufficient_funds,3,16,5,161,4.4,upi,0.762,0
pay_00140,cust_2259,390.94,insufficient_funds,1,9,2,195,1.68,netbanking,0.818,1
pay_00141,cust_0924,2788.96,bank_timeout,2,4,4,659,2.71,netbanking,0.5,1
pay_00142,cust_2059,2160.71,authentication_failed,0,2,0,686,3.88,card,1.0,1
pay_00143,cust_1085,7472.3,authentication_failed,2,15,3,854,4.06,upi,0.833,1
pay_00144,cust_1664,6076.8,invalid_card,2,19,2,350,4.32,card,0.905,0
pay_00145,cust_1308,2949.77,authentication_failed,0,10,3,507,0.7,netbanking,0.769,1
pay_00146,cust_1842,5688.66,bank_timeout,2,18,5,224,3.84,card,0.783,0
pay_00147,cust_2041,497.79,invalid_card,3,7,3,627,1.83,netbanking,0.7,0
pay_00148,cust_0208,2684.86,authentication_failed,0,13,2,933,1.4,card,0.867,1
pay_00149,cust_1499,682.6,expired_card,2,2,6,546,2.31,netbanking,0.25,0
pay_00150,cust_2253,282.92,invalid_card,2,17,5,803,0.81,upi,0.773,0
pay_00151,cust_2468,1090.56,invalid_card,3,4,8,173,1.71,netbanking,0.333,0
pay_00152,cust_1305,2477.9,authentication_failed,3,18,4,516,4.1,netbanking,0.818,1
pay_00153,cust_1509,298.37,authentication_failed,2,20,3,768,0.35,upi,0.87,1
pay_00154,cust_1968,813.88,bank_timeout,0,6,0,481,1.64,card,1.0,1
pay_00155,cust_0621,7279.73,insufficient_funds,1,16,3,604,1.69,netbanking,0.842,1
pay_00156,cust_1960,1346.19,authentication_failed,2,19,7,226,4.79,upi,0.731,0
pay_00157,cust_1143,2944.85,bank_timeout,3,10,7,387,2.85,netbanking,0.588,0
pay_00158,cust_1121,9269.43,expired_card,2,1,4,761,0.49,card,0.2,0
pay_00159,cust_1812,1427.76,authentication_failed,2,4,1,660,3.73,netbanking,0.8,0
pay_00160,cust_0981,271.74,insufficient_funds,2,15,1,727,3.88,upi,0.938,1
pay_00161,cust_0022,7569.6,invalid_card,1,9,5,322,3.26,netbanking,0.643,0
pay_00162,cust_0367,394.69,bank_timeout,1,1,6,836,2.53,upi,0.143,0
pay_00163,cust_1186,2135.36,expired_card,3,4,8,509,1.44,upi,0.333,0
pay_00164,cust_0462,298.21,expired_card,1,5,6,876,2.2,upi,0.455,1
pay_00165,cust_1344,1369.38,bank_timeout,2,12,3,487,3.79,card,0.8,1
pay_00166,cust_1351,860.72,insufficient_funds,0,14,4,193,2.09,netbanking,0.778,1
pay_00167,cust_2059,2538.91,expired_card,1,7,2,519,0.85,netbanking,0.778,0
pay_00168,cust_2482,850.27,bank_timeout,0,16,7,570,3.55,netbanking,0.696,1
pay_00169,cust_0320,555.99,authentication_failed,1,5,5,904,2.65,netbanking,0.5,0
pay_00170,cust_0477,9291.33,insufficient_funds,1,16,6,497,2.86,upi,0.727,0
pay_00171,cust_2289,337.71,bank_timeout,0,1,6,382,3.53,netbanking,0.143,1
pay_00172,cust_2217,497.24,expired_card,1,4,6,413,4.96,upi,0.4,1
pay_00173,cust_1567,957.64,expired_card,1,17,6,571,0.72,card,0.739,0
pay_00174,cust_0913,6240.56,authentication_failed,1,7,7,384,0.86,upi,0.5,0
pay_00175,cust_0773,8665.54,authentication_failed,1,6,1,133,3.01,card,0.857,1
pay_00176,cust_1829,8183.05,invalid_card,1,1,2,545,4.97,card,0.333,1
pay_00177,cust_0960,1637.49,bank_timeout,1,16,3,453,1.57,upi,0.842,1
pay_00178,cust_0250,4225.76,authentication_failed,0,11,6,834,2.67,upi,0.647,1
pay_00179,cust_1706,649.64,bank_timeout,1,14,0,605,2.12,upi,1.0,1
pay_00180,cust_1707,366.19,invalid_card,0,17,3,82,1.42,upi,0.85,1
pay_00181,cust_2478,935.94,invalid_card,2,9,0,246,4.69,card,1.0,0
pay_00182,cust_0481,876.41,invalid_card,2,9,6,507,2.71,card,0.6,0
pay_00183,cust_1472,6261.56,expired_card,2,10,6,76,2.86,card,0.625,1
pay_00184,cust_0907,7087.64,expired_card,1,10,3,418,2.89,card,0.769,0
pay_00185,cust_1007,4801.03,invalid_card,1,11,2,173,3.63,upi,0.846,1
pay_00186,cust_2001,254.21,insufficient_funds,0,0,6,170,4.23,netbanking,0.0,1
pay_00187,cust_0948,219.39,authentication_failed,3,15,0,36,2.71,netbanking,1.0,0
pay_00188,cust_1685,202.56,authentication_failed,3,5,1,970,0.57,netbanking,0.833,1
pay_00189,cust_0610,5480.73,insufficient_funds,3,14,3,743,1.21,upi,0.824,0
pay_00190,cust_0331,3654.41,invalid_card,3,1,0,749,0.94,netbanking,1.0,0
pay_00191,cust_2048,452.6,authentication_failed,1,6,7,307,0.33,card,0.462,0
pay_00192,cust_0305,639.91,expired_card,1,18,2,800,4.12,card,0.9,1
pay_00193,cust_1632,6966.3,authentication_failed,3,4,1,542,3.75,upi,0.8,1
pay_00194,cust_1417,5383.81,expired_card,2,14,7,263,1.84,card,0.667,1
pay_00195,cust_1538,2320.68,bank_timeout,0,2,4,187,1.96,netbanking,0.333,1
pay_00196,cust_0632,1213.0,invalid_card,2,3,2,119,1.02,upi,0.6,0
pay_00197,cust_1839,366.1,authentication_failed,2,12,0,328,2.13,netbanking,1.0,1
pay_00198,cust_0347,779.21,invalid_card,1,8,4,304,2.52,card,0.667,0
pay_00199,cust_0260,1599.2,expired_card,3,19,3,498,0.62,card,0.864,0
pay_00200,cust_1248,2682.39,invalid_card,3,20,2,337,1.67,upi,0.909,0
pay_00201,cust_0823,5233.64,authentication_failed,2,12,4,866,3.95,card,0.75,0
pay_00202,cust_1496,233.17,invalid_card,1,14,4,881,3.49,netbanking,0.778,1
pay_00203,cust_1676,569.45,invalid_card,0,14,7,626,2.06,upi,0.667,0
pay_00204,cust_2076,1836.18,authentication_failed,0,3,3,703,3.36,netbanking,0.5,1
pay_00205,cust_0682,7741.63,expired_card,0,0,1,294,1.19,upi,0.0,1
pay_00206,cust_2125,5618.46,authentication_failed,1,11,0,524,0.61,netbanking,1.0,0
pay_00207,cust_1704,2661.8,expired_card,3,6,8,524,1.81,upi,0.429,0
pay_00208,cust_0400,330.45,insufficient_funds,0,5,3,558,0.95,upi,0.625,1
pay_00209,cust_0656,712.76,bank_timeout,3,12,0,785,3.11,netbanking,1.0,1
pay_00210,cust_0809,1008.9,insufficient_funds,0,17,2,404,1.7,netbanking,0.895,1
pay_00211,cust_1875,1978.48,authentication_failed,3,18,1,386,1.82,upi,0.947,0
pay_00212,cust_1876,384.21,bank_timeout,0,7,4,149,1.0,upi,0.636,1
pay_00213,cust_0580,708.7,invalid_card,1,17,2,531,1.52,netbanking,0.895,0
pay_00214,cust_0767,293.37,invalid_card,1,12,8,547,3.3,card,0.6,0
pay_00215,cust_1676,404.41,authentication_failed,1,9,0,311,1.2,card,1.0,1
pay_00216,cust_1183,249.46,authentication_failed,2,17,5,585,4.13,card,0.773,1
pay_00217,cust_0171,720.24,expired_card,3,8,5,912,4.1,card,0.615,0
pay_00218,cust_1799,2622.97,authentication_failed,3,5,2,833,1.11,netbanking,0.714,0
pay_00219,cust_0848,784.47,expired_card,2,9,4,908,2.62,netbanking,0.692,0
pay_00220,cust_0391,1822.78,bank_timeout,1,7,2,758,1.68,netbanking,0.778,1
pay_00221,cust_1014,1978.43,invalid_card,3,2,1,442,2.63,upi,0.667,0
pay_00222,cust_1140,407.41,insufficient_funds,3,20,5,900,0.41,netbanking,0.8,1
pay_00223,cust_2190,2648.87,expired_card,1,18,7,837,1.78,upi,0.72,1
pay_00224,cust_0199,812.46,invalid_card,0,13,3,735,4.56,upi,0.812,0
pay_00225,cust_1237,1547.76,insufficient_funds,1,1,6,670,1.6,upi,0.143,0
pay_00226,cust_0960,327.77,bank_timeout,1,16,7,39,0.14,netbanking,0.696,1
pay_00227,cust_1408,444.13,bank_timeout,0,3,1,350,1.9,upi,0.75,1
pay_00228,cust_1226,885.96,insufficient_funds,0,19,2,480,1.82,netbanking,0.905,1
pay_00229,cust_0873,575.54,insufficient_funds,1,3,6,389,4.82,card,0.333,1
pay_00230,cust_1289,2288.6,insufficient_funds,2,6,8,651,2.6,netbanking,0.429,1
pay_00231,cust_1605,9681.75,invalid_card,1,15,1,570,4.45,card,0.938,1
pay_00232,cust_0050,9024.84,expired_card,1,15,1,47,2.98,netbanking,0.938,0
pay_00233,cust_0057,1120.88,authentication_failed,3,12,1,685,2.73,upi,0.923,1
pay_00234,cust_0626,654.64,authentication_failed,3,18,1,347,3.52,upi,0.947,0
pay_00235,cust_0978,216.37,expired_card,1,3,0,754,0.77,netbanking,1.0,1
pay_00236,cust_0047,2045.49,bank_timeout,1,8,1,819,4.51,upi,0.889,1
pay_00237,cust_1373,441.13,invalid_card,2,1,7,909,2.88,upi,0.125,0
pay_00238,cust_1507,246.19,bank_timeout,0,1,0,280,0.33,netbanking,1.0,1
pay_00239,cust_1491,9001.54,bank_timeout,1,13,5,307,4.15,upi,0.722,0
pay_00240,cust_2342,310.84,invalid_card,3,9,4,365,0.52,card,0.692,1
pay_00241,cust_1871,600.13,invalid_card,3,6,8,808,4.0,upi,0.429,0
pay_00242,cust_0617,200.91,expired_card,3,9,1,240,2.7,card,0.9,0
pay_00243,cust_0976,2944.15,insufficient_funds,1,16,6,747,4.49,card,0.727,1
pay_00244,cust_1878,3934.46,insufficient_funds,0,13,2,272,1.53,netbanking,0.867,1
pay_00245,cust_1291,5283.43,expired_card,0,6,2,828,3.87,card,0.75,0
pay_00246,cust_0447,1931.64,bank_timeout,2,14,4,902,0.69,upi,0.778,1
pay_00247,cust_0646,651.8,expired_card,0,7,5,435,2.62,card,0.583,0
pay_00248,cust_1225,5830.34,authentication_failed,1,3,7,134,4.04,netbanking,0.3,1
pay_00249,cust_0573,530.77,invalid_card,0,18,4,969,4.08,upi,0.818,0
pay_00250,cust_0090,498.15,expired_card,0,14,0,202,4.63,card,1.0,1
pay_00251,cust_1775,697.1,expired_card,1,8,4,486,4.43,card,0.667,1
pay_00252,cust_0142,6491.74,insufficient_funds,2,12,2,459,1.08,card,0.857,1
pay_00253,cust_2154,3136.69,expired_card,3,11,8,359,2.0,upi,0.579,0
pay_00254,cust_0737,1058.58,insufficient_funds,2,18,3,193,0.59,upi,0.857,1
pay_00255,cust_0988,907.33,authentication_failed,2,5,2,272,3.0,upi,0.714,0
pay_00256,cust_1470,514.08,authentication_failed,3,17,4,209,2.5,card,0.81,1
pay_00257,cust_0370,1039.84,authentication_failed,1,10,2,970,4.03,card,0.833,0
pay_00258,cust_1326,216.87,authentication_failed,0,11,6,630,0.6,upi,0.647,1
pay_00259,cust_1237,6057.64,expired_card,2,7,2,417,1.6,card,0.778,0
pay_00260,cust_1207,9639.94,authentication_failed,1,19,5,973,4.06,card,0.792,1
pay_00261,cust_0905,390.89,bank_timeout,2,5,1,871,3.57,upi,0.833,1
pay_00262,cust_1376,1498.83,insufficient_funds,0,1,6,478,3.69,netbanking,0.143,0
pay_00263,cust_0682,464.37,invalid_card,1,5,7,105,4.02,netbanking,0.417,0
pay_00264,cust_0137,659.04,invalid_card,0,17,1,376,3.01,card,0.944,1
pay_00265,cust_1978,7250.62,bank_timeout,0,10,3,224,2.11,card,0.769,1
pay_00266,cust_2270,864.26,insufficient_funds,3,18,8,890,2.51,card,0.692,0
pay_00267,cust_0224,7633.48,bank_timeout,0,6,2,683,1.53,card,0.75,1
pay_00268,cust_0336,2568.97,insufficient_funds,3,5,5,936,1.97,netbanking,0.5,0
pay_00269,cust_0765,1929.65,authentication_failed,1,3,1,714,1.78,card,0.75,0
pay_00270,cust_2218,3426.83,authentication_failed,3,18,3,517,1.56,upi,0.857,0
pay_00271,cust_1618,856.44,insufficient_funds,1,5,3,857,1.04,upi,0.625,1
pay_00272,cust_0175,993.15,authentication_failed,2,2,1,427,2.83,upi,0.667,1
pay_00273,cust_2262,9113.39,insufficient_funds,1,4,1,977,0.62,upi,0.8,0
pay_00274,cust_0414,2759.39,invalid_card,3,18,7,68,0.94,netbanking,0.72,1
pay_00275,cust_1651,2386.63,bank_timeout,3,8,5,50,1.76,card,0.615,1
pay_00276,cust_1242,920.58,bank_timeout,3,10,4,776,2.14,upi,0.714,0
pay_00277,cust_0366,2647.11,insufficient_funds,1,2,4,756,2.58,netbanking,0.333,0
pay_00278,cust_0556,761.62,insufficient_funds,0,14,0,970,1.87,card,1.0,1
pay_00279,cust_0816,281.19,insufficient_funds,2,15,7,211,4.81,card,0.682,0
pay_00280,cust_1944,375.06,expired_card,3,1,2,904,2.9,card,0.333,0
pay_00281,cust_0878,4883.32,authentication_failed,0,15,2,692,0.95,card,0.882,1
pay_00282,cust_0035,2885.07,invalid_card,2,14,4,253,2.39,upi,0.778,0
pay_00283,cust_2133,1204.52,authentication_failed,2,9,1,523,0.41,netbanking,0.9,1
pay_00284,cust_1133,1522.03,bank_timeout,1,1,6,706,1.67,card,0.143,0
pay_00285,cust_0574,4815.72,invalid_card,0,18,3,381,3.66,upi,0.857,0
pay_00286,cust_0911,1950.99,authentication_failed,1,17,2,330,0.58,upi,0.895,1
pay_00287,cust_0525,2117.5,insufficient_funds,2,7,4,460,3.96,card,0.636,0
pay_00288,cust_1358,310.5,authentication_failed,0,15,3,542,0.69,netbanking,0.833,0
pay_00289,cust_1564,706.14,expired_card,3,4,5,913,3.61,upi,0.444,0
pay_00290,cust_0332,345.27,invalid_card,1,5,2,531,3.95,upi,0.714,0
pay_00291,cust_0361,6002.75,invalid_card,0,17,3,778,1.93,card,0.85,1
pay_00292,cust_0058,466.6,bank_timeout,2,9,2,135,1.98,card,0.818,0
pay_00293,cust_2412,9638.3,authentication_failed,2,13,2,380,4.98,netbanking,0.867,0
pay_00294,cust_2008,9426.52,insufficient_funds,1,4,3,781,0.21,card,0.571,0
pay_00295,cust_2067,2300.43,authentication_failed,0,19,0,707,0.63,netbanking,1.0,1
pay_00296,cust_0081,1888.18,invalid_card,1,6,0,338,2.16,netbanking,1.0,0
pay_00297,cust_0414,397.74,authentication_failed,0,9,1,833,0.62,netbanking,0.9,1
pay_00298,cust_0814,2662.17,invalid_card,1,1,8,538,4.56,upi,0.111,0
pay_00299,cust_1969,9347.25,bank_timeout,0,3,4,689,1.23,card,0.429,1
pay_00300,cust_1213,2625.54,expired_card,2,13,1,127,4.27,netbanking,0.929,1
pay_00301,cust_0188,5300.3,authentication_failed,0,11,5,217,0.66,upi,0.688,0
pay_00302,cust_1640,8953.85,bank_timeout,1,1,2,136,2.14,card,0.333,0
pay_00303,cust_2420,1875.89,authentication_failed,1,15,7,145,4.45,card,0.682,1
pay_00304,cust_1806,630.54,expired_card,0,13,3,523,1.79,netbanking,0.812,0
pay_00305,cust_1577,243.6,bank_timeout,3,15,2,106,3.78,netbanking,0.882,1
pay_00306,cust_1314,4558.72,invalid_card,0,14,7,850,2.91,card,0.667,1
pay_00307,cust_0361,455.98,insufficient_funds,3,1,8,592,0.1,upi,0.111,0
pay_00308,cust_0373,980.62,invalid_card,2,1,3,894,2.33,upi,0.25,0
pay_00309,cust_2295,5542.7,insufficient_funds,1,0,5,393,4.17,card,0.0,0
pay_00310,cust_1196,9277.24,bank_timeout,3,3,4,655,1.06,netbanking,0.429,0
